name,rating,total_reviews,category,address,phone,website,price_range,hours_status,google_maps_url
Cipriani Downtown,4.1,1.2K,$100+,"376 W Broadway, New York, NY 10012, United States",+1 212-343-0999,https://www.cipriani.com/cipriani-downtown?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-downtown-nyc,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iAp9vS5YCAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJpdGFsaWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjJNbDlFWkZsUkVBRfoBBQiTARA_#rlimm=7107003109804812639
Minetta Tavern,4.5,1.2K,$100+,"113 MacDougal St, New York, NY 10012, United States",+1 212-475-3850,http://www.minettatavernny.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0ikrJogWiUQABgCGAMiF3Jlc3RhdXJhbnRzIGluIG5ldyB5b3JrKgQIAxAAkgERZnJlbmNoX3Jlc3RhdXJhbnQ#rlimm=69226281461778318
Thai Villa,4.7,1.2K,$20–30,"5 E 19th St, New York, NY 10003, United States",+1 212-802-9999,https://thaivillanyc.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0jir9jilKuAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSAQ90aGFpX3Jlc3RhdXJhbnQ#rlimm=1981675325619466234
Hole In The Wall - FiDi,4.8,1.2K,$20–30,"15 Cliff St, New York, NY 10038, United States",+1 212-602-9991,http://www.holeinthewallnyc.com/fidi,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0jA-7_z8qyAgAhaJxAAGAEYAhgDIhdyZXN0YXVyYW50cyBpbiBuZXcgeW9yayoECAMQAJIBFWF1c3RyYWxpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWWFEY3lXak5SUlJBQvoBBAgSEDs#rlimm=8631272284488775280
Lindens,4.8,1.2K,$20–30,"2 Renwick St, New York, NY 10013, United States",+1 929-595-7706,http://www.lindensnyc.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0jN-rafhLiAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARNhbWVyaWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5LZVV0dGNrRm5FQUX6AQQIOxA7#rlimm=10252124614359201541
Mezcali,4.7,1.2K,$20–30,"83 Maiden Ln, New York, NY 10038, United States",+1 917-409-5881,https://www.mezcalinyc.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0jZ5fv1vLaAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJtZXhpY2FuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpOVjh0Y1RCUlJSQUL6AQQISxBM#rlimm=9485973844334958791
Friedman's,4.4,1.2K,$20–30,"138 W 31st St, New York, NY 10001, United States",+1 212-971-9400,https://www.friedmansrestaurant.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i1xvys1JWAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARZnbHV0ZW5fZnJlZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJzMVdGZHNiRzlOVjFaMVdWaGtSMVpYTlZKVVJYQlhUbXRzVGxSWFl4QUL6AQQIABA9#rlimm=7744160331674838516
Victory Sweet Shop/Victory Garden Cafe,4.5,447,$20–30,"21-69 Steinway St, Astoria, NY 11105, United States",+1 718-274-2087,https://victorysweetshop.com/garden-cafe/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&sca_esv=fc1c730d332ca106&udm=1&ei=CL93ab-cG8CK9u8P09SI6A0&start=20&sa=N&sstk=Af77f_dijhIIvDg3WDrQTjrj3sTZzCMA7mIBobFYcuxASAwGcK7JflYjIQhE2cy3H3vBvARRx_itGRKecK4riHD6KQa-2kog_a7aFQ&ved=2ahUKEwi_wLr19qmSAxVAhf0HHVMqAt0Q8NMDegQICRAN&biw=1920&bih=953&aic=0&lqi=#rlimm=5134776318379173873
The Lucerne Hotel,N/A,447,4-star hotel,"201 W 79th St, New York, NY 10024, United States",+1 212-875-1000,N/A,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&sca_esv=fc1c730d332ca106&udm=1&ei=CL93ab-cG8CK9u8P09SI6A0&start=20&sa=N&sstk=Af77f_dijhIIvDg3WDrQTjrj3sTZzCMA7mIBobFYcuxASAwGcK7JflYjIQhE2cy3H3vBvARRx_itGRKecK4riHD6KQa-2kog_a7aFQ&ved=2ahUKEwi_wLr19qmSAxVAhf0HHVMqAt0Q8NMDegQICRAN&biw=1920&bih=953&aic=0&lqi=#rlimm=16575023833780136278
Casa D'angelo New York,4.6,447,$20–30,"146 Mulberry St, New York, NY 10013, United States",+1 212-804-8656,http://www.cangelomulberry.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&sca_esv=fc1c730d332ca106&udm=1&ei=CL93ab-cG8CK9u8P09SI6A0&start=20&sa=N&sstk=Af77f_dijhIIvDg3WDrQTjrj3sTZzCMA7mIBobFYcuxASAwGcK7JflYjIQhE2cy3H3vBvARRx_itGRKecK4riHD6KQa-2kog_a7aFQ&ved=2ahUKEwi_wLr19qmSAxVAhf0HHVMqAt0Q8NMDegQICRAN&biw=1920&bih=953&aic=0&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iTlY_25YCAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJpdGFsaWFuX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnM0TW1KVmVIcGpWa1pvVTFaS00yTlhXbmxQVlRWVVRGWkNkbEpIWXhBQvoBBAhlEEo#rlimm=18099147441938130374
